year,Area,Sector,UNIT,Consumption
2017,Abu Dhabi,Industrial,GWH,2903.189454
2017,Abu Dhabi,Governmental,GWH,3360.570974
2017,Abu Dhabi,Other,GWH,12442.38284
2017,Abu Dhabi,Total,GWH,50104.96872
2017,Dubai,Residential,GWH,12795
2017,Dubai,Commercial,GWH,20818
2017,Dubai,Industrial,GWH,2914
2017,Dubai,Governmental,GWH,3404.783712
2017,Dubai,Other,GWH,221.2162883
2017,Dubai,Total,GWH,40153
2017,Northen Emirates,Residential,GWH,5311.2
2017,Northen Emirates,Commercial,GWH,2390.04
2017,Northen Emirates,Industrial,GWH,2921.16
2017,Northen Emirates,Governmental,GWH,1460.58
2017,Northen Emirates,Other,GWH,1195.02
2017,Northen Emirates,Total,GWH,13278
2017,Sharjah,Residential,GWH,4630.89
2017,Sharjah,Commercial,GWH,3847.92
2017,Sharjah,Industrial,GWH,1272.42
2017,Sharjah,Governmental,GWH,1180.75
2017,Sharjah,Other,GWH,17.25
2017,Sharjah,Total,GWH,10949.23
2018,Abu Dhabi,Residential,GWH,13498.40652
2018,Abu Dhabi,Commercial,GWH,18874.35766
2018,Abu Dhabi,Industrial,GWH,3313.584061
2018,Abu Dhabi,Governmental,GWH,3186.966987
2018,Abu Dhabi,Other,GWH,12239.30496
2018,Abu Dhabi,Total,GWH,51112.62019
2018,Dubai,Residential,GWH,13023
2018,Dubai,Commercial,GWH,21333
2018,Dubai,Industrial,GWH,2871
2018,Dubai,Governmental,GWH,3429.197494
2018,Dubai,Other,GWH,222.8025055
2018,Dubai,Total,GWH,40879
2018,Northen Emirates,Residential,GWH,5271.373667
2018,Northen Emirates,Commercial,GWH,2372.11815
2018,Northen Emirates,Industrial,GWH,2899.255517
2018,Northen Emirates,Governmental,GWH,1449.627758
2018,Northen Emirates,Other,GWH,1186.059075
2018,Northen Emirates,Total,GWH,13178.43417
2018,Sharjah,Residential,GWH,4582.18
2018,Sharjah,Commercial,GWH,3921.42
2018,Sharjah,Industrial,GWH,1415.47
2018,Sharjah,Governmental,GWH,1275.39
2018,Sharjah,Other,GWH,24.98
2018,Sharjah,Total,GWH,11219.43
